Name,Capital,Continent,Population,GDP
Somalia,Mogadishu,Africa,0,0
South Africa,Pretoria,Africa,0,0
South Korea,Seoul,Asia,0,0
South Sudan,Juba,Africa,0,0
Spain,Madrid,Europe,0,0
Sri Lanka,Colombo,Asia,0,0
Sudan,Khartoum,Africa,0,0
Suriname,Paramaribo,South America,0,0
Sweden,Stockholm,Europe,0,0
Switzerland,Bern,Europe,0,0
Syrian Arab Republic,Damascus,Asia,0,0
Taiwan,Taipei,Asia,0,0
Tajikistan,Dushanbe,Asia,0,0
Tanzania,Dodoma,Africa,0,0
Thailand,Bangkok,Asia,0,0
Timor-Leste,Dili,Asia,0,0
Togo,Lome,Africa,0,0
Tonga,Nuku'alofa,Oceana,0,0
Trinidad and Tobago,Port of Spain,North America,0,0
Tunisia,Tunis,Africa,0,0
Turkey,Ankara,Asia,0,0
Turkmenistan,Ashgabat,Asia,0,0
Tuvalu,Funafuti,Oceana,0,0
Uganda,Kampala,Africa,0,0
Ukraine,Kiev,Europe,0,0
United Arab Emirates,Abu Dhabi,Asia,0,0
United Kingdom,London,Europe,0,0
United States of America,Washington D.C.,North America,0,0
Uruguay,Montevideo,South America,0,0
Uzbekistan,Tashkent,Asia,0,0
Vanuatu,Port Vila,Oceana,0,0
Venezuela,Caracas,South America,0,0
Viet Nam,Hanoi,Asia,0,0
Western Sahara,Cardiff,Africa,0,0
Yemen,Sana'a,Asia,0,0
Zambia,Lusaka,Africa,0,0
Zimbabwe,Harare,Africa,0,0
